food_code,food_name,energy_kcal,protein_g,carb_g,fat_g,fibre_g,freesugar_g,sodium_mg
BFP263,Dry arbi (Sookhi arbi),134.945,2.116,11.107,8.967,2.473,1.551,81.245
BFP264,Masala arbi,185.377,3.007,16.158,11.903,3.099,0.811,261.306
BFP266,Peas brinjal bhartha (Matar baingan bhartha),84.545,2.051,5.018,6.052,3.631,1.574,63.652
BFP269,Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.808,1.83,4.503,9.274,3.569,1.425,92.775
BFP270,Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,1.912,4.349,70.396,1.753,0.26,40.416
BFP272,Beans foogath,105.065,2.025,3.259,9.222,4.147,1.695,81.225
BFP273,Stuffed bittergourd (wet) (Bharwa karele),162.362,1.363,4.68,15.245,2.861,1.953,360.085
BFP274,Jackfruit/Kathal (dry),488.975,0.93,4.565,51.783,1.329,3.549,33.684
BFP275,Yam fried (Zimikand/Suran fried),491.763,0.791,5.468,51.788,1.443,0.803,37.075
BFP276,"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.667,2.754,8.234,5.541,3.263,1.472,86.287
BFP277,Vegetable jalfrezi,68.478,1.405,5.426,4.375,2.97,1.795,79.459
BFP278,Vegetables stir fry ,30.781,1.035,3.195,1.473,1.375,0.855,54.997
BFP279,Broccoli delight,40.697,2.49,2.342,2.484,2.829,1.079,59.259
BFP280,Dhansak (vegetarian),82.802,3.322,7.278,4.18,4.168,0.906,34.179
BFP282,Cauliflower basket,90.948,5.205,3.97,5.881,2.398,1.468,194.217
BFP284,Stuffed bottle gourd (Stuffed ghiya/lauki),93.187,5.838,4.361,5.803,1.182,1.52,106.986
BFP286,Ducheese potato,140.539,3.602,10.936,9.011,1.292,0.286,103.85
BFP287,Roast potatoes ,87.319,1.526,14.522,2.355,1.713,0.327,90.669
BFP288,Stuffed baked potatoes ,100.198,3.815,11.035,4.391,1.31,0.405,92.086
BFP289,Potato nests,111.617,5.706,11.049,4.765,2.485,1.412,182.123
BFP290,Parsley potato,119.514,1.489,13.811,6.278,1.594,0.342,4.622
BFP291,Creamed spinach and mushroom,419.615,2.278,3.168,44.137,1.018,1.175,90.206
